External_Id__c,Name,AccountId:Account:External_Id__c,Asset_Type__r:Asset_Type__c:External_Id__c,ParentId:Asset:External_Id__c,Status,SerialNumber,InstallDate,PurchaseDate,UsageEndDate,Description
MAYO_MRI_AERA_001,Mayo Rochester MRI Unit 1,MAYO_CLINIC_ROCHESTER,MAGNETOM_1_5T_AERA,,Installed,MAG15AER2301,2023-01-15,2022-11-20,2033-01-15,"Primary 1.5T MRI system for routine neurological and body imaging in main radiology department."
MAYO_MRI_AERA_001_TABLE,Mayo MRI Unit 1 - Patient Table,MAYO_CLINIC_ROCHESTER,MRI_PATIENT_TABLE,MAYO_MRI_AERA_001,Installed,MAG15AER2301-TBL,2023-01-15,2022-11-20,2033-01-15,"Carbon fiber patient table with precision positioning for MRI Unit 1."
MAYO_MRI_AERA_001_HEAD_COIL,Mayo MRI Unit 1 - Head Coil,MAYO_CLINIC_ROCHESTER,MRI_HEAD_COIL_20CH,MAYO_MRI_AERA_001,Installed,MAG15AER2301-HC20,2023-01-15,2022-11-20,2033-01-15,"20-channel head coil for neurological imaging on MRI Unit 1."
MAYO_MRI_AERA_001_SPINE_COIL,Mayo MRI Unit 1 - Spine Coil,MAYO_CLINIC_ROCHESTER,MRI_SPINE_COIL_32CH,MAYO_MRI_AERA_001,Installed,MAG15AER2301-SC32,2023-01-15,2022-11-20,2033-01-15,"32-channel spine coil for comprehensive spinal imaging on MRI Unit 1."
MAYO_CT_FORCE_001,Mayo Rochester CT Scanner 1,MAYO_CLINIC_ROCHESTER,SOMATOM_FORCE,,Installed,SOM75FOR2302,2023-02-10,2022-12-05,2033-02-10,"Dual-source CT system for emergency and cardiac imaging with advanced dose optimization."
MAYO_CT_FORCE_001_TABLE,Mayo CT Scanner 1 - Patient Table,MAYO_CLINIC_ROCHESTER,CT_PATIENT_TABLE,MAYO_CT_FORCE_001,Installed,SOM75FOR2302-TBL,2023-02-10,2022-12-05,2033-02-10,"Carbon fiber patient table with precision positioning for CT Scanner 1."
MAYO_CT_FORCE_001_DETECTOR,Mayo CT Scanner 1 - Detector Array,MAYO_CLINIC_ROCHESTER,CT_DETECTOR_ARRAY,MAYO_CT_FORCE_001,Installed,SOM75FOR2302-DET,2023-02-10,2022-12-05,2033-02-10,"High-resolution detector array for multi-slice CT data acquisition."
CLEVELAND_MRI_SKYRA_001,Cleveland Clinic MRI 3T Unit,CLEVELAND_CLINIC_MAIN,MAGNETOM_3T_SKYRA,,Installed,MAG3SKY2303,2023-03-22,2023-01-10,2033-03-22,"3T MRI system in neurological institute for advanced brain and spine imaging protocols."
CLEVELAND_MRI_SKYRA_001_TABLE,Cleveland MRI 3T - Patient Table,CLEVELAND_CLINIC_MAIN,MRI_PATIENT_TABLE,CLEVELAND_MRI_SKYRA_001,Installed,MAG3SKY2303-TBL,2023-03-22,2023-01-10,2033-03-22,"Carbon fiber patient table with precision positioning for 3T MRI system."
CLEVELAND_MRI_SKYRA_001_BODY_COIL,Cleveland MRI 3T - Body Coil,CLEVELAND_CLINIC_MAIN,MRI_BODY_COIL_32CH,CLEVELAND_MRI_SKYRA_001,Installed,MAG3SKY2303-BC32,2023-03-22,2023-01-10,2033-03-22,"32-channel body coil for abdominal and thoracic imaging on 3T MRI."
CLEVELAND_CT_DEFINITION_001,Cleveland Main CT Scanner,CLEVELAND_CLINIC_MAIN,SOMATOM_DEFINITION,,Installed,SOMDEFCT2301,2023-01-08,2022-10-25,2033-01-08,"Multi-slice CT system for general diagnostic imaging and angiography procedures."
CLEVELAND_CT_DEFINITION_001_XRAY,Cleveland CT Scanner - X-ray Tube,CLEVELAND_CLINIC_MAIN,CT_XRAY_TUBE_ASSEMBLY,CLEVELAND_CT_DEFINITION_001,Installed,SOMDEFCT2301-XRT,2023-01-08,2022-10-25,2033-01-08,"Rotating anode X-ray tube assembly with advanced cooling system."
JOHNS_HOPKINS_PET_CT_001,Hopkins PET/CT Suite 1,JOHNS_HOPKINS_HOSPITAL,BIOGRAPH_VISION_PET_CT,,Installed,BIOVISPET2304,2023-04-18,2023-02-28,2033-04-18,"Next-generation PET/CT system with SiPM technology for oncology and research applications."
JOHNS_HOPKINS_PET_CT_001_TABLE,Hopkins PET/CT Suite 1 - Patient Table,JOHNS_HOPKINS_HOSPITAL,PET_CT_PATIENT_TABLE,JOHNS_HOPKINS_PET_CT_001,Installed,BIOVISPET2304-TBL,2023-04-18,2023-02-28,2033-04-18,"Precision patient table for PET/CT registration and positioning."
JOHNS_HOPKINS_PET_CT_001_DETECTOR,Hopkins PET/CT Suite 1 - PET Detector Ring,JOHNS_HOPKINS_HOSPITAL,PET_DETECTOR_RING,JOHNS_HOPKINS_PET_CT_001,Installed,BIOVISPET2304-PDR,2023-04-18,2023-02-28,2033-04-18,"SiPM detector ring for high-sensitivity PET imaging."
JOHNS_HOPKINS_MRI_PRISMA_001,Hopkins Research MRI 3T,JOHNS_HOPKINS_HOSPITAL,MAGNETOM_3T_PRISMA,,Installed,MAG3PRI2305,2023-05-12,2023-03-15,2033-05-12,"Research-grade 3T MRI system for advanced neuroscience and clinical research protocols."
JOHNS_HOPKINS_MRI_PRISMA_001_CARDIAC,Hopkins Research MRI 3T - Cardiac Coil,JOHNS_HOPKINS_HOSPITAL,MRI_CARDIAC_COIL_18CH,JOHNS_HOPKINS_MRI_PRISMA_001,Installed,MAG3PRI2305-CC18,2023-05-12,2023-03-15,2033-05-12,"18-channel cardiac coil with ECG gating for advanced heart imaging research."
MASS_GENERAL_CT_ALPHA_001,MGH Photon-Counting CT,MASS_GENERAL_BRIGHAM,NAEOTOM_ALPHA,,Installed,NEOALPHA2306,2023-06-30,2023-04-20,2033-06-30,"Latest photon-counting CT technology for high-resolution spectral imaging capabilities."
MASS_GENERAL_CT_ALPHA_001_COOLING,MGH Photon-Counting CT - Cooling System,MASS_GENERAL_BRIGHAM,CT_GANTRY_COOLING_SYSTEM,MASS_GENERAL_CT_ALPHA_001,Installed,NEOALPHA2306-COOL,2023-06-30,2023-04-20,2033-06-30,"Liquid cooling system for CT gantry thermal management."
MASS_GENERAL_ULTRASOUND_001,MGH Cardiology Ultrasound,MASS_GENERAL_BRIGHAM,ACUSON_SEQUOIA,,Installed,ACUSEQ2307,2023-07-15,2023-05-10,2028-07-15,"Premium ultrasound system in cardiology department for echocardiography and vascular studies."
MASS_GENERAL_ULTRASOUND_001_PHASED,MGH Cardiology US - Phased Array Probe,MASS_GENERAL_BRIGHAM,ULTRASOUND_PROBE_PHASED,MASS_GENERAL_ULTRASOUND_001,Installed,ACUSEQ2307-PAP,2023-07-15,2023-05-10,2028-07-15,"Cardiac phased array probe for echocardiography applications."
MASS_GENERAL_ULTRASOUND_001_TEE,MGH Cardiology US - TEE Probe,MASS_GENERAL_BRIGHAM,ULTRASOUND_PROBE_TEE,MASS_GENERAL_ULTRASOUND_001,Installed,ACUSEQ2307-TEE,2023-07-15,2023-05-10,2028-07-15,"Transesophageal echo probe for detailed cardiac imaging."
STANFORD_MRI_TERRA_001,Stanford 7T Research MRI,STANFORD_HEALTH_CARE,MAGNETOM_7T_TERRA,,Installed,MAG7TER2308,2023-08-20,2023-06-01,2033-08-20,"Ultra-high field 7T MRI system for cutting-edge neuroscience and molecular imaging research."
STANFORD_MRI_TERRA_001_HEAD_COIL,Stanford 7T MRI - Head Coil,STANFORD_HEALTH_CARE,MRI_HEAD_COIL_20CH,STANFORD_MRI_TERRA_001,Installed,MAG7TER2308-HC20,2023-08-20,2023-06-01,2033-08-20,"High-resolution 20-channel head coil optimized for 7T field strength."
STANFORD_XRAY_YSIO_001,Stanford Digital X-ray Unit,STANFORD_HEALTH_CARE,YSIO_MAX,,Installed,YSIOMAX2309,2023-09-05,2023-07-12,2028-09-05,"Wireless digital radiography system with advanced automation features."
STANFORD_XRAY_YSIO_001_DETECTOR,Stanford X-ray Unit - Detector Panel,STANFORD_HEALTH_CARE,XRAY_DETECTOR_PANEL,STANFORD_XRAY_YSIO_001,Installed,YSIOMAX2309-DET,2023-09-05,2023-07-12,2028-09-05,"Flat panel digital detector for direct radiography imaging."
CEDARS_SINAI_SPECT_CT_001,Cedars-Sinai Nuclear Medicine,CEDARS_SINAI_MEDICAL,SYMBIA_INTEVO_BOLD,,Installed,SYMINTEV2310,2023-10-10,2023-08-25,2033-10-10,"Advanced SPECT/CT system for quantitative nuclear medicine and molecular imaging."
CEDARS_SINAI_SPECT_CT_001_ATTEN,Cedars SPECT/CT - Attenuation Correction,CEDARS_SINAI_MEDICAL,PET_CT_ATTENUATION_CORRECTION,CEDARS_SINAI_SPECT_CT_001,Installed,SYMINTEV2310-AC,2023-10-10,2023-08-25,2033-10-10,"CT-based attenuation correction for quantitative SPECT imaging."
CEDARS_SINAI_ULTRASOUND_001,Cedars Emergency Ultrasound,CEDARS_SINAI_MEDICAL,ACUSON_JUNIPER,,Installed,ACUJUN2311,2023-11-15,2023-09-30,2028-11-15,"Compact point-of-care ultrasound system for emergency department and critical care."
CEDARS_SINAI_ULTRASOUND_001_LINEAR,Cedars Emergency US - Linear Probe,CEDARS_SINAI_MEDICAL,ULTRASOUND_PROBE_LINEAR,CEDARS_SINAI_ULTRASOUND_001,Installed,ACUJUN2311-LP,2023-11-15,2023-09-30,2028-11-15,"High-frequency linear probe for vascular and superficial imaging in emergency setting."
NY_PRESBYTERIAN_CT_EDGE_001,NYP Cornell CT Scanner,NY_PRESBYTERIAN_HOSPITAL,SOMATOM_EDGE_PLUS,,Installed,SOMEDGE2312,2023-12-01,2023-10-15,2033-12-01,"Mid-range CT system with cardiac capabilities for comprehensive diagnostic imaging."
NY_PRESBYTERIAN_XRAY_ARTIS_001,NYP Interventional Suite,NY_PRESBYTERIAN_HOSPITAL,AXIOM_ARTIS_ZEE,,Installed,AXIART2401,2024-01-20,2023-11-05,2034-01-20,"Interventional angiography system for complex vascular and cardiac procedures."
NY_PRESBYTERIAN_XRAY_ARTIS_001_CARM,NYP Interventional - C-arm Assembly,NY_PRESBYTERIAN_HOSPITAL,ANGIO_CARM_ASSEMBLY,NY_PRESBYTERIAN_XRAY_ARTIS_001,Installed,AXIART2401-CAM,2024-01-20,2023-11-05,2034-01-20,"Motorized C-arm for interventional angiography positioning."
UCSF_MRI_ESSENZA_001,UCSF General MRI Unit,UCSF_MEDICAL_CENTER,MAGNETOM_1_5T_ESSENZA,,Installed,MAGESS2402,2024-02-14,2023-12-20,2034-02-14,"Value-focused 1.5T MRI system for routine clinical imaging and patient throughput."
UCSF_MOBILE_XRAY_001,UCSF Mobile X-ray Unit,UCSF_MEDICAL_CENTER,MOBILETT_ELARA_MAX,,Installed,MOBELA2403,2024-03-08,2024-01-15,2029-03-08,"Mobile X-ray system for bedside imaging in ICU and patient ward environments."
UCSF_MOBILE_XRAY_001_TUBE,UCSF Mobile X-ray - Tube Housing,UCSF_MEDICAL_CENTER,XRAY_TUBE_HOUSING,UCSF_MOBILE_XRAY_001,Installed,MOBELA2403-XTH,2024-03-08,2024-01-15,2029-03-08,"Rotating anode X-ray tube assembly with beam filtration for mobile unit."
DUKE_PET_CT_HORIZON_001,Duke Oncology PET/CT,DUKE_UNIVERSITY_HOSPITAL,BIOGRAPH_HORIZON_PET_CT,,Installed,BIOHOR2404,2024-04-12,2024-02-28,2034-04-12,"Compact PET/CT system optimized for routine oncology imaging and staging procedures."
DUKE_ULTRASOUND_ORIGIN_001,Duke Multi-Specialty US,DUKE_UNIVERSITY_HOSPITAL,ACUSON_ORIGIN,,Installed,ACUORI2405,2024-05-25,2024-03-10,2029-05-25,"Shared service ultrasound platform serving multiple clinical specialties and departments."
DUKE_ULTRASOUND_ORIGIN_001_CONVEX,Duke Multi-Specialty US - Convex Probe,DUKE_UNIVERSITY_HOSPITAL,ULTRASOUND_PROBE_CONVEX,DUKE_ULTRASOUND_ORIGIN_001,Installed,ACUORI2405-CP,2024-05-25,2024-03-10,2029-05-25,"Curved array probe for abdominal and obstetric imaging across specialties."
HOUSTON_CT_GO_TOP_001,Methodist Entry CT Scanner,HOUSTON_METHODIST_HOSPITAL,SOMATOM_GO_TOP,,Installed,SOMGO2406,2024-06-18,2024-04-22,2034-06-18,"Entry-level CT scanner for routine diagnostic imaging and high patient volume."
HOUSTON_XRAY_MULTIX_001,Methodist DR Suite 1,HOUSTON_METHODIST_HOSPITAL,AXIOM_MULTIX_FUSION,,Installed,AXIMUL2407,2024-07-30,2024-05-15,2029-07-30,"Digital radiography system with tomosynthesis capability for comprehensive chest imaging."
HOUSTON_XRAY_MULTIX_001_COLLIMATOR,Methodist DR Suite 1 - Collimator,HOUSTON_METHODIST_HOSPITAL,XRAY_COLLIMATOR_SYSTEM,HOUSTON_XRAY_MULTIX_001,Installed,AXIMUL2407-COL,2024-07-30,2024-05-15,2029-07-30,"Automated collimation system for radiation field control and dose optimization."
SEATTLE_CHILDRENS_US_001,Seattle Children's PICU US,SEATTLE_CHILDRENS_HOSPITAL,ACUSON_CYPRESS,,Installed,ACUCYP2408,2024-08-15,2024-06-28,2029-08-15,"Portable ultrasound system for pediatric cardiovascular and critical care applications."
SEATTLE_CHILDRENS_XRAY_001,Seattle Children's X-ray 1,SEATTLE_CHILDRENS_HOSPITAL,AXIOM_ICONOS,,Installed,AXIICON2409,2024-09-10,2024-07-20,2029-09-10,"Pediatric-optimized fluoroscopy and radiography system for diagnostic procedures."
EMORY_SPECT_CT_TRUEPOINT_001,Emory Nuclear Medicine,EMORY_UNIVERSITY_HOSPITAL,SYMBIA_TRUEPOINT_SPECT_CT,,Installed,SYMTRUE2410,2024-10-05,2024-08-12,2034-10-05,"Hybrid SPECT/CT system for functional and anatomical imaging in nuclear medicine."
EMORY_PET_CT_TRUEPOINT_001,Emory Oncology PET/CT,EMORY_UNIVERSITY_HOSPITAL,BIOGRAPH_TRUEPOINT_PET_CT,,Installed,BIOTRUE2411,2024-11-18,2024-09-25,2034-11-18,"Integrated PET/CT system serving oncology, cardiology, and neurology departments."
MAYO_MRI_AERA_002,Mayo Rochester MRI Unit 2,MAYO_CLINIC_ROCHESTER,MAGNETOM_1_5T_AERA,,Installed,MAG15AER2412,2024-12-10,2024-10-15,2034-12-10,"Second 1.5T MRI system for expanded capacity in musculoskeletal and body imaging."